tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,genres,runtimeMinutes
442680,tt4944494,Shaitani Dracula,2006-01-01,hi,0.0,4.6,21.0,5253714.0,Harinam Singh,"Harinam Singh, Birbal, Ramesh Goyal, Manmauji, Anil Nagrath",Horror,79
272222,tt0857385,Kudiyon Ka hai Zamaana,2006-01-01,hi,0.0,3.8,92.0,5294010.0,Amar Butala,"Mahima Chaudhry, Rekha, Kim Sharma, Ashmit Patel, Vasundhara Das",Comedy,112
486382,tt0857395,Prateeksha,2006-01-01,hi,6.0,5.6,64.0,2074698.0,Basu Chatterjee,"Jimmy Shergill, Dia Mirza, Zarina Wahab, Raj Singh Verma, Anupam Kher",Romance,150
1358349,tt22025846,Krishna Aayo Natkhat Nandlal,2006-01-01,hi,0.0,6.8,12.0,5248606.0,Unknown,Unknown,Animation,99
272210,tt1169822,Hota Hai Dil Pyaar Mein Paagal,2006-01-01,hi,0.0,5.4,20.0,5253147.0,Mahesh Kapoor,Razak Khan,Romance,118
1131318,tt14333040,Brahmandam,2006-01-01,ta,0.0,5.8,16.0,8964887.0,Om Saiprakash,"Namitha, V. Ravichandran, Sridevika",Drama,153
499731,tt4944470,Virana,2006-01-01,hi,0.0,3.2,10.0,5247471.0,Kanti Shah,"Anil Nagrath, Amit Pachori, Sapna Sappu, Vinod Tripathi","Drama,Horror,Romance",72
919040,tt4944504,Chaska: An Addiction,2006-01-01,hi,0.0,3.6,9.0,5246904.0,Hriday Sharma,"Haider, Nitu, Preeti, Jhony Nirmal, Ramesh Goyal",Thriller,129
50889,tt2511496,Cyanide,2006-01-08,kn,5.0,8.7,910.0,4313013.0,A. M. R. Ramesh,"Avinash, Malavika Avinash, Usha Bhandary, Suresh Heblikar, Bank Janardhan","Crime,Drama,Thriller",115
20971,tt0488906,Zinda,2006-01-12,hi,3.9,4.9,3967.0,5410995.0,Sanjay Gupta,"Sanjay Dutt, John Abraham, Lara Dutta, Celina Jaitly, Mahesh Manjrekar","Action,Drama,Mystery",116
136542,tt0437182,Family: Ties of Blood,2006-01-12,hi,5.8,5.7,2115.0,3345499.0,Rajkumar Santoshi,"Amitabh Bachchan, Akshay Kumar, Bhumika Chawla, Aryeman Ramsay, Sushant Singh","Action,Crime,Drama",150
69412,tt0816605,Paramasivan,2006-01-14,ta,4.5,4.2,995.0,500000.0,P. Vasu,"Ajith Kumar, Laila, Vivek, Prakash Raj, Jayaram","Action,Thriller",160
33375,tt0397551,My Bollywood Bride,2006-01-14,hi,5.0,4.7,671.0,2953097.0,Rajeev Virani,"Jason Lewis, Kashmera Shah, Gulshan Grover, Sanjay Suri, Neha Dubey","Comedy,Drama,Romance",95
77035,tt0813550,Lakshmi,2006-01-14,te,5.3,5.9,691.0,11456939.0,V. V. Vinayak,"Venkatesh, Nayanthara, Charmy Kaur, Rajiv Kanakala, Sharwanand",Drama,155
63637,tt0769499,Aathi,2006-01-15,ta,5.0,4.4,3058.0,8021820.0,Ramana,"Vijay, Trisha Krishnan, Sai Kumar, Prakash Raj, Vivek","Action,Drama",167
7913,tt0405508,Rang De Basanti,2006-01-26,hi,7.085,8.1,126334.0,11502151.0,Rakeysh Omprakash Mehra,"Aamir Khan, Siddharth, Kunal Kapoor, Sharman Joshi, Atul Kulkarni","Comedy,Crime,Drama",167
979605,tt1580019,Sarada Saradaga,2006-01-27,te,0.0,5.2,39.0,13916593.0,S.V. Krishna Reddy,"Srikanth, Rajendra Prasad, Siva Balaji, Sindhu Tolani, Brahmanandam",Comedy,116
81060,tt0491775,Happy,2006-01-27,te,6.3,7.1,4160.0,5800000.0,A. Karunakaran,"Allu Arjun, Genelia D'Souza, Manoj Bajpayee, Brahmanandam, Kishore","Comedy,Drama,Romance",152
307030,tt0418880,Mere Jeevan Saathi,2006-02-03,hi,3.0,3.4,1109.0,4269485.0,Suneel Darshan,"Akshay Kumar, Karisma Kapoor, Ameesha Patel, Gulshan Grover, Ashish Vidhyarthi","Drama,Music,Romance",129
63817,tt0455545,Idhaya Thirudan,2006-02-03,ta,2.5,3.4,194.0,7731150.0,Saran,"Ravi Mohan, Kamna Jethmalani, Prakash Raj, Santhanam, Nassar",Romance,129
115070,tt0925058,Asthram,2006-02-05,te,2.7,4.6,1185.0,13125452.0,Suresh Krissna,"Vishnu Manchu, Anushka Shetty, Jackie Shroff, Rahul Dev, Sarath Babu","Action,Crime,Thriller",140
948312,tt0933175,Sun Zara,2006-02-06,hi,5.0,6.1,29.0,2588738.0,Rohit Nayyar,Unknown,"Drama,Romance",125
79667,tt2325589,Chithiram Pesuthadi,2006-02-10,ta,5.667,7.2,338.0,2800000.0,Mysskin,"Narain, Bhavana, Kadhal Thandapani, Ravi Prakash, Pithamagan Mahadevan","Drama,Romance,Thriller",148
224932,tt2325785,Kalabha Kadhalan,2006-02-16,ta,5.5,5.3,140.0,6098793.0,Igore,"Arya, Renuka Menon, Akshaya, Ilavarasu, Nizhalgal Ravi","Romance,Thriller",140
63818,tt1034402,Pattiyal,2006-02-17,ta,7.5,7.2,521.0,3700000.0,Vishnu Varadhan,"Arya, Bharath Srinivasan, Pooja Umashankar, Padmapriya Janakiraman, Santhana Bharathi",Crime,140
310495,tt0454429,Chingaari,2006-02-17,hi,1.7,4.7,246.0,4473775.0,Kalpana Lajmi,"Sushmita Sen, Mithun Chakraborty, Ila Arun, Anuj Sawhney, Aanjjan Srivastav",Drama,155
256062,tt2917376,My Autograph,2006-02-17,kn,6.5,7.9,466.0,3260171.0,Sudeepa,"Sudeepa, Meena, Sridevika, Deepa, Rashmi Kulkarni","Drama,Musical,Romance",185
1500219,tt14338584,Suntaragaali,2006-02-17,kn,0.0,7.8,100.0,6522824.0,Sadhu Kokila,"Darshan Thoogudeepa Srinivas, Rakshita, Ashish Vidhyarthi, Rangayana Raghu, Umashree",Drama,160
69584,tt0458176,Thambi,2006-02-22,ta,6.2,6.1,370.0,5855594.0,Seeman,"R. Madhavan, Pooja Umashankar, Biju Menon, Vadivelu, Manivannan","Action,Drama,Thriller",138
