tmdb_id,imdb_id,title,release_date,language,rating_tmdb,rating_imdb,votes_imdb,revenue,director,cast,genres,runtimeMinutes
487288,,A Mercedes for Ashish,2006-01-01,hi,0.0,,,,,,,
442680,tt4944494,Shaitani Dracula,2006-01-01,hi,0.0,4.6,21.0,0.0,Harinam Singh,"Harinam Singh, Birbal, Ramesh Goyal, Manmauji, Anil Nagrath",Horror,79
1436302,,Intoxication of the Body,2006-01-01,hi,0.0,,,,,,,
1357257,,The Heartbeat,2006-01-01,hi,0.0,,,,,,,
446321,,Free Entry,2006-01-01,hi,0.0,,,,,,,
272222,tt0857385,Kudiyon Ka hai Zamaana,2006-01-01,hi,0.0,3.8,92.0,0.0,Amar Butala,"Mahima Chaudhry, Rekha, Kim Sharma, Ashmit Patel, Vasundhara Das",Comedy,112
1456506,,Amidst,2006-01-01,hi,0.0,,,,,,,
486382,tt0857395,Prateeksha,2006-01-01,hi,6.0,5.6,64.0,0.0,Basu Chatterjee,"Jimmy Shergill, Dia Mirza, Zarina Wahab, Raj Singh Verma, Anupam Kher",Romance,150
1595907,,Bandish,2006-01-01,hi,0.0,,,0.0,Kamal Swaroop,,,
1358349,tt22025846,Krishna Aayo Natkhat Nandlal,2006-01-01,hi,0.0,6.8,12.0,0.0,,,Animation,99
272210,tt1169822,Hota Hai Dil Pyaar Mein Paagal,2006-01-01,hi,0.0,5.4,20.0,0.0,Mahesh Kapoor,Razak Khan,Romance,118
288263,,"Manasundi.., Khani...!",2006-01-01,te,0.0,,,0.0,,,,
994094,,Narakasuran,2006-01-01,ml,0.0,,,,,,,
1131318,tt14333040,Brahmandam,2006-01-01,ta,0.0,5.8,16.0,0.0,Om Saiprakash,"Namitha, V. Ravichandran, Sridevika",Drama,153
1365952,,Walking on a Moonbeam,2006-01-01,hi,0.0,,,0.0,Madhureeta Anand,,,
617036,,Seven Islands and a Metro,2006-01-01,hi,0.0,,,,,,,
499731,tt4944470,Virana,2006-01-01,hi,0.0,3.2,10.0,0.0,Kanti Shah,"Anil Nagrath, Amit Pachori, Sapna Sappu, Vinod Tripathi","Drama,Horror,Romance",72
919040,tt4944504,Chaska: An Addiction,2006-01-01,hi,0.0,3.6,9.0,0.0,Hriday Sharma,"Haider, Nitu, Preeti, Jhony Nirmal, Ramesh Goyal",Thriller,
1110346,,Mandya,2006-01-06,kn,0.0,,,,,,,
50889,tt2511496,Cyanide,2006-01-08,kn,5.0,8.7,910.0,0.0,A. M. R. Ramesh,"Avinash, Malavika Avinash, Usha Bhandary, Suresh Heblikar, Bank Janardhan","Crime,Drama,Thriller",115
80802,,Devadasu,2006-01-11,te,4.625,,,,,,,
20971,tt0488906,Zinda,2006-01-12,hi,3.9,4.9,3967.0,0.0,Sanjay Gupta,"Sanjay Dutt, John Abraham, Lara Dutta, Celina Jaitly, Mahesh Manjrekar","Action,Drama,Mystery",116
